sample_id,timestamp,run_hours,cycle_number,cathode_catalyst,anode_catalyst,Pt_at%,Co_at%,Ni_at%,Pd_at%,Ir_at%,graphene_support_%,TiO2_support_%,CeO2_support_%,gC3N4_support_%,C_support_%,total_metal_loading_%,BET_surface_area_m2_g,membrane_type,active_area_cm2,electrolyte,voltage_V,operating_pressure_bar,current_density_mA_cm2,voltage_efficiency_%,faradaic_efficiency_CH3OH_%,degradation_rate_per_hour,cumulative_degradation_%,voltage_drift_24h,metal_support_ratio,catalyst_complexity_index,voltage_stability_index,failure_risk_level,maintenance_needed
MEA_0088,2024-01-22 18:00,523,88,Pt/C,RuO2,24.6,37.6,51.5,15.6,70.5,82.2,34.3,92.1,42.8,66.9,6.35,86.9,PEM,5,0.5M H2SO4,1.63,2.5,10.46,56,72,0.003248,41.844533,-0.0074,0.025,4,0.755,normal,0
MEA_0089,2024-01-23 0:00,529,89,Pt-Ru/g-C3N4,,16.1,7.9,42.4,33.9,81.7,5.7,13.5,34.5,2.7,44.8,4.35,41.2,PEM,10,0.5M H2SO4,1.47,2.4,33.73,55.6,68.7,0.004211,44.072152,0.0111,0.077,4,0.704,normal,0
MEA_0090,2024-01-23 6:00,535,90,Pt-Co/TiO2/g-C3N4,IrO2,18.7,2,3.4,30.3,54.6,41.9,9.4,5.5,78.4,48.8,0.89,55.9,PEM,20,1M KOH,1.05,2.3,5.58,53.1,54.6,0.001301,44.768187,0.0008,0.007,4,0.885,warning,1
MEA_0091,2024-01-23 12:00,541,91,Carbon Paper,NiFeO2,28.5,55.3,77.5,18.2,96.7,45.8,83.2,20.4,1.1,20.4,3.8,63,Nafion 211,5,0.5M Na2CO3,1.21,0.9,25.88,88.1,61.5,0.00088,45.244267,-0.0086,0.025,4,0.919,normal,0
MEA_0092,2024-01-23 18:00,547,92,Pt-Ru/g-C3N4,IrO2,17.3,37,63.9,10.9,5.2,72.5,91.8,41.9,76.2,62.7,3.02,73.1,AEM-Sustainion X37,1,Buffer+1M KCl,2.15,2.6,8.95,87.7,86.8,0.001284,45.946615,-0.0053,0.011,4,0.886,warning,1
MEA_0093,2024-01-24 0:00,553,93,Pt-Co/TiO2/g-C3N4,RuO2,89.7,47.8,23.4,49.4,50.5,57.4,65,22,89.3,35.9,7.02,82.7,Nafion 211,20,Buffer+1M KCl,1.03,1.2,21.4,74.7,65.7,-0.000889,45.454998,-0.0059,0.03,4,0.918,normal,0
MEA_0094,2024-01-24 6:00,559,94,40wt%_Pt/C,RuO2,8,28.9,78.4,22.7,71.8,66.7,10.3,0,43.3,99.6,9.51,51.6,PEM,20,0.5M H2SO4,2.4,2.8,41.82,66,69.5,0.003348,47.32653,0.0077,0.079,4,0.749,normal,0
MEA_0095,2024-01-24 12:00,565,95,40wt%_Pt/C,RuO2,52.5,7,48.2,34.4,86.3,77.7,40.2,91.5,53.6,48,3.05,71.7,PEM,1,Buffer+1M KCl,1.13,1.4,49.37,77,33.8,0.001099,47.947465,0.0169,0.012,4,0.901,normal,0
MEA_0096,2024-01-24 18:00,571,96,40wt%_Pt/C,,41,7.5,46.6,7,17.9,86.2,72.9,84.4,47.7,48.6,8.21,32,PEM,5,Buffer+1M KCl,2.2,2.6,16.58,73.4,40,0.00088,48.449945,0.0138,0.028,4,0.919,normal,0
MEA_0097,2024-01-25 0:00,577,97,Pt-Co/TiO2/g-C3N4,IrO2,98.2,41.1,59.8,24.3,80,31.4,78,74.2,38.9,56.6,1.03,94.6,Nafion 211,20,Buffer+1M KCl,2.35,1.2,27.07,62.9,48.1,0.002589,49.943798,0.0064,0.005,4,0.794,normal,0
MEA_0098,2024-01-25 6:00,583,98,Pt-Ru/g-C3N4,,11.2,25.8,64.9,1.4,55.3,53.8,11.8,16.8,88.7,91.7,5.61,50.6,PEM,20,0.5M H2SO4,2.41,1.8,26.05,60.9,62.4,0.001617,50.886509,0.0027,0.033,4,0.861,warning,1
MEA_0099,2024-01-25 12:00,589,99,40wt%_Pt/C,,39.8,12,52.5,25.3,39.7,84,0,12,89.4,80.1,1.17,78.4,Nafion 212,20,Buffer+1M KCl,2.3,0.8,47.77,61.1,76.6,0.004885,53.763774,0.0086,0.006,4,0.672,normal,0
MEA_0100,2024-01-25 18:00,595,100,Pd-Ni/CeO2,RuO2,96.9,29.5,10.2,48.2,13.2,98.9,71.2,6.8,33.6,45.1,9.37,21.6,PEM,5,0.5M H2SO4,1.43,2.2,24.45,72.4,49.3,0.001138,54.440884,0.0033,0.044,4,0.898,normal,0
MEA_0101,2024-01-26 0:00,601,101,Pt/Graphite,RuO2,86.6,3.9,27.1,19.2,86.5,89,35.7,72.4,61.5,71.9,7.78,36.4,AEM-Sustainion X37,5,1M KOH,1.5,2.6,35.26,75.6,51.4,0.002683,56.053367,-0.0026,0.03,4,0.788,normal,0
MEA_0102,2024-01-26 6:00,607,102,Pt-Co/TiO2/g-C3N4,,81.7,34.9,74.2,1.9,15.7,37.1,25.4,92.9,92.7,58.6,6.75,59,Nafion 212,5,1M KOH,1.64,2.3,46.17,64.8,45.4,0.00087,56.581457,0.0104,0.027,4,0.92,warning,1
MEA_0103,2024-01-26 12:00,613,103,Pt-Co/TiO2/g-C3N4,IrO2,25.8,16.1,18,1.5,31,19.5,1.3,43.1,96.2,49.2,8.33,90.3,PEM,20,Buffer+1M KCl,1.21,1.8,19.3,93.3,45.3,0.004944,59.612129,0.0162,0.052,4,0.669,normal,0
MEA_0104,2024-01-26 18:00,619,104,Pt-Ru/g-C3N4,NiFeO2,17.1,47.9,29.8,19.4,29,48.9,54,11.9,50.9,19.2,6.65,62.2,Nafion 212,10,1M KOH,1.03,0.6,45.2,44.6,86.9,0.001671,60.646478,0.0012,0.04,4,0.857,normal,0
MEA_0105,2024-01-27 0:00,625,105,Pt-Co/TiO2/g-C3N4,,66.9,18.6,34.6,8,87.1,74.2,85.1,51.2,45.3,46.4,9.7,94.4,PEM,1,0.5M H2SO4,2.3,2.8,45.96,59.1,68.1,0.002805,62.399603,0.0152,0.038,4,0.781,normal,0
MEA_0106,2024-01-27 6:00,631,106,Pt-Co/TiO2/g-C3N4,IrO2,92.9,27.3,35.2,1.2,67.3,49.3,95.8,34.9,27.9,24.6,7.28,58.7,AEM-Sustainion X37,10,1M KOH,1.83,2.3,46.6,63,39.4,-0.00024,62.248163,0.0029,0.035,4,0.977,critical,1
MEA_0107,2024-01-27 12:00,637,107,40wt%_Pt/C,RuO2,55.7,0.7,49,37.8,79.7,48.3,56.6,37.5,95.9,91.5,9.28,59.2,PEM,5,Buffer+1M KCl,1.91,2.4,14.25,40.9,73.3,0.003398,64.412689,0.002,0.039,4,0.746,normal,0
MEA_0108,2024-01-27 18:00,643,108,Pt-Ru/g-C3N4,RuO2,57.2,4.3,75.4,22.9,25,83.8,51.4,62.1,14.3,33.5,5.41,29.6,Nafion 212,20,0.5M H2SO4,2.39,2.5,20.62,60.1,73.3,0.000615,64.808134,-0.0092,0.026,4,0.942,normal,0
MEA_0109,2024-01-28 0:00,649,109,40wt%_Pt/C,IrO2,28,23.5,19.3,14.5,62.5,36.1,8.5,71.9,58,95.2,1.61,84.2,AEM-Sustainion X37,20,0.5M Na2CO3,2,2.4,43.65,55.1,70,0.001692,65.906242,0.0109,0.009,4,0.855,normal,0
MEA_0110,2024-01-28 6:00,655,110,Pt/Graphite,NiFeO2,76.9,28.8,9.7,45,57.2,86,54.9,11.1,28.3,53.3,5.52,39.8,Nafion 211,10,0.5M H2SO4,2.04,1.6,18.6,67.8,38.1,0.004299,68.722087,0.0142,0.031,4,0.699,warning,1
MEA_0111,2024-01-28 12:00,661,111,Carbon Paper,RuO2,18.7,36,15.8,5.8,83.3,40.7,38,3.6,27.9,63.2,1.71,92,AEM-Sustainion X37,10,1M KOH,2.18,2.3,30.41,58.5,54.5,0.004823,71.91009,0.0099,0.016,4,0.675,normal,0
MEA_0112,2024-01-28 18:00,667,112,Pt/Graphite,RuO2,32.4,17.5,71,47.8,90.6,32.8,60.7,99.4,40.5,54.3,6.13,92.9,AEM-Sustainion X37,1,0.5M Na2CO3,1.17,2.1,6.78,79.9,36.4,0.001547,72.941939,-0.0055,0.026,4,0.866,warning,1
MEA_0113,2024-01-29 0:00,673,113,Carbon Paper,RuO2,42.5,41.7,51.7,15.7,1.2,45.4,38.9,23.3,99.9,12.9,5.08,95.5,AEM-Sustainion X37,20,0.5M H2SO4,1.54,2.6,3.76,68,79,0.004009,75.639996,-0.0069,0.024,4,0.714,normal,0
MEA_0114,2024-01-29 6:00,679,114,40wt%_Pt/C,IrO2,50.8,51.6,22.9,44.4,67.4,76.2,24,5.4,5.5,37.6,6.41,61.6,Nafion 212,10,0.5M Na2CO3,2.45,2.5,21.19,47.1,69.3,-0.00068,75.178276,0.0072,0.058,4,0.936,normal,0
MEA_0115,2024-01-29 12:00,685,115,Pt/Graphite,,24.2,46.8,65.3,30.1,5.2,12.6,9.5,19,57.9,9.9,0.6,74.2,AEM-Sustainion X37,1,0.5M Na2CO3,2.38,0.6,29.37,81.3,60.4,0.004085,77.976501,0.002,0.006,4,0.71,normal,0
MEA_0116,2024-01-29 18:00,691,116,Pt-Ru/g-C3N4,RuO2,11.5,2.4,68.9,41.3,54.9,19.6,31.5,3.9,8.3,62.3,2.35,82.3,PEM,5,0.5M Na2CO3,2.33,1.4,20.24,45.5,50.6,0.002777,79.895408,0.0029,0.037,4,0.783,warning,1
MEA_0117,2024-01-30 0:00,697,117,Pt/C,,61.1,28.8,67.7,49.2,28.8,95.1,9.7,39.2,15.5,44.7,5.17,30.5,AEM-Sustainion X37,10,0.5M H2SO4,1.68,0.6,29.31,86.1,41.1,0.001932,81.242012,0.019,0.032,4,0.838,normal,0
MEA_0118,2024-01-30 6:00,703,118,40wt%_Pt/C,NiFeO2,28.9,6.3,73.5,14.4,30.7,17.5,17.7,80.2,44,77.8,9.53,68.1,AEM-Sustainion X37,5,1M KOH,2.29,0.8,26.24,91.2,36.4,0.00434,84.293032,0.0117,0.06,4,0.697,warning,1
MEA_0119,2024-01-30 12:00,709,119,Carbon Paper,RuO2,58.1,14.5,20.2,48.1,35.3,56.8,98.7,34.1,51,22,4.14,22.7,PEM,1,0.5M H2SO4,1.07,2,34.6,57.7,88.2,0.004072,87.18008,0.0024,0.017,4,0.711,normal,0
MEA_0120,2024-01-30 18:00,715,120,Pd-Ni/CeO2,RuO2,15.4,59.2,60.4,19.5,62.1,57.9,44.4,44.4,25.9,16.5,4.53,59.8,PEM,5,1M KOH,1.22,2.7,32.83,90.9,42,0.000782,87.73921,-0.0094,0.026,4,0.927,critical,1
MEA_0121,2024-01-31 0:00,721,121,Carbon Paper,NiFeO2,48.1,8.5,36.8,19.3,33.4,49,53.2,67.6,31.6,40.6,7.29,32.4,Nafion 211,20,0.5M H2SO4,1.62,0.8,21.79,83.6,33.6,0.003749,90.442239,-0.009,0.036,4,0.727,normal,0
MEA_0122,2024-01-31 6:00,727,122,Pd-Ni/CeO2,RuO2,53.3,29.9,67.4,17,73.3,64.5,87.4,50.9,8.7,92.7,6.24,34.6,AEM-Sustainion X37,20,0.5M H2SO4,1.73,1.6,21.82,90.7,87.7,-0.000403,90.149258,0.0105,0.029,4,0.961,normal,0
MEA_0123,2024-01-31 12:00,733,123,Pt-Co/TiO2/g-C3N4,,5.2,37.1,58.3,27.1,40.5,23,99.6,86.1,30.3,71,3.34,49.2,Nafion 212,5,0.5M H2SO4,1.4,2.8,7.9,76.6,62.9,0.003937,93.035079,0.0151,0.014,4,0.718,normal,0
MEA_0124,2024-01-31 18:00,739,124,Pt/Graphite,IrO2,33.7,42.1,62.1,7.7,6.8,55.3,58.3,86.6,96.7,41.9,4.4,54.6,AEM-Sustainion X37,20,1M KOH,1.53,2.5,26.15,53,77.8,0.003053,95.291246,0.0112,0.015,4,0.766,normal,0
MEA_0125,2024-02-01 0:00,745,125,Pd-Ni/CeO2,,13.4,33.6,52.5,27.7,78.4,37.2,81.2,1,94.5,51.7,2.57,69.9,AEM-Sustainion X37,1,0.5M H2SO4,1.24,1.8,29.77,89.2,32.6,-0.000473,94.938861,0.0022,0.012,4,0.955,normal,0
MEA_0126,2024-02-01 6:00,751,126,Carbon Paper,IrO2,6.3,0.6,14.2,27.1,28.6,66.2,32.7,77.8,33.5,8.4,9.68,26,PEM,20,0.5M Na2CO3,1.73,2.4,24.35,50.1,64,0.003098,97.265459,-0.0091,0.046,4,0.763,normal,0
MEA_0127,2024-02-01 12:00,757,127,Pt-Co/TiO2/g-C3N4,IrO2,99,19.6,43.6,38.1,43.3,14.1,30.6,46.1,57.1,98.5,1.74,60.3,Nafion 211,5,0.5M H2SO4,2.19,1.8,16.96,51.7,53.9,0.002483,99.14509,0.019,0.012,4,0.801,normal,0
MEA_0128,2024-02-01 18:00,763,128,Pt/C,,32.2,31.1,78.8,41.7,68.5,57.1,40.3,98.9,91,66.6,4.03,34.6,AEM-Sustainion X37,5,0.5M Na2CO3,1.99,0.9,36.36,54.9,76.3,0.002567,101.103711,0.0196,0.014,4,0.796,normal,0
MEA_0129,2024-02-02 0:00,769,129,Pt-Ru/g-C3N4,,81,5.3,75,22,33.2,18.5,67.3,48.3,0.6,28.5,0.75,65.9,Nafion 212,5,Buffer+1M KCl,1.16,0.8,4.66,56.7,32.3,0.000745,101.676616,0.0065,0.006,4,0.931,normal,0
MEA_0130,2024-02-02 6:00,775,130,Pt-Ru/g-C3N4,,25.5,21,3.5,15.1,5.7,27.9,68.2,98.7,81.1,58.6,2.61,71,AEM-Sustainion X37,10,Buffer+1M KCl,1.73,1,45.81,68.3,54.1,0.000599,102.140841,-0.0079,0.009,4,0.943,normal,0
MEA_0131,2024-02-02 12:00,781,131,Pt-Ru/g-C3N4,,68.2,2,13.2,13,37.4,21.9,31.5,75.5,94.8,10.9,7.91,64.5,Nafion 212,5,1M KOH,2.05,1.4,2.01,79.2,77.9,0.003575,104.932916,0.0062,0.035,4,0.737,normal,0
MEA_0132,2024-02-02 18:00,787,132,Pd-Ni/CeO2,NiFeO2,76,4.7,10.5,9.7,94.4,18.3,13.3,24.9,9.1,96.6,2.41,79.1,PEM,1,1M KOH,1.79,2.8,48.16,90.9,61.4,0.000541,105.358683,0.0168,0.037,4,0.949,normal,0
MEA_0133,2024-02-03 0:00,793,133,Pt/C,RuO2,59.6,23.8,58.1,2.9,64.2,82.6,63.2,53.8,16.1,17.5,1.26,46.8,Nafion 211,20,Buffer+1M KCl,1.59,2.5,23.66,44.9,63,0.001678,106.689337,0.0104,0.006,4,0.856,normal,0
MEA_0134,2024-02-03 6:00,799,134,Pd-Ni/CeO2,IrO2,47.2,8,65.4,17.1,67.1,28.6,12.8,99.2,96.1,64.8,5.01,81.2,AEM-Sustainion X37,20,0.5M H2SO4,1.93,1.6,21.22,92.5,35.8,0.003169,109.221368,0.0116,0.021,4,0.759,normal,0
MEA_0135,2024-02-03 12:00,805,135,Pt/Graphite,,41.2,34.1,17.1,13.5,63.2,92.7,57.8,85.8,53.8,24.5,0.59,54.6,Nafion 211,10,0.5M H2SO4,2.45,1.7,13.57,90.7,37.9,-0.000522,108.801158,-0.0075,0.002,4,0.95,warning,1
MEA_0136,2024-02-03 18:00,811,136,Pd-Ni/CeO2,,34.9,41.4,40.5,48.3,19.9,97,69.3,9.7,1.4,71.8,1.31,58.7,AEM-Sustainion X37,10,0.5M H2SO4,1.14,1.2,1.49,43,70.6,0.002567,110.882995,-0.0068,0.007,4,0.796,critical,1
MEA_0137,2024-02-04 0:00,817,137,Pt/C,,93,48,67.3,27.9,41.8,57.1,70.1,70.6,25.8,77.7,8.17,71.8,Nafion 212,1,Buffer+1M KCl,1.59,2.3,14.46,59.8,70.5,0.002536,112.954907,-0.0062,0.037,4,0.798,normal,0
MEA_0138,2024-02-04 6:00,823,138,Pt/C,NiFeO2,83.1,12,58.6,17.4,75.1,14.3,75.3,34.6,45,67.3,7.83,21.5,Nafion 211,5,0.5M Na2CO3,1.61,2.5,6.36,84.7,88.7,0.003105,115.510322,0.0171,0.046,4,0.763,normal,0
MEA_0139,2024-02-04 12:00,829,139,Pt/Graphite,,96.5,10,43.4,29,10.1,37.5,87.3,0.7,69.3,61.4,9.19,72.3,AEM-Sustainion X37,10,1M KOH,1.87,1.1,33.33,73.6,72.7,0.00122,116.521702,0.0058,0.047,4,0.891,normal,0
MEA_0140,2024-02-04 18:00,835,140,Pt/C,,12.4,6.3,47.2,7,27.8,79.8,50,40.3,73.3,89.2,8.62,69.5,PEM,20,0.5M Na2CO3,1.23,0.6,16.63,82.9,59.6,0.001694,117.936192,0.0137,0.035,4,0.855,normal,0
MEA_0141,2024-02-05 0:00,841,141,Carbon Paper,,73.1,38.2,40.7,22.2,27.6,36.7,73,23.5,99.5,7.9,6.99,44.8,Nafion 212,10,Buffer+1M KCl,1.26,2.1,38.59,79.5,81.4,0.00098,118.760372,-0.0065,0.03,4,0.911,normal,0
MEA_0142,2024-02-05 6:00,847,142,Pt/C,RuO2,93.8,42.4,23.8,31.3,43.2,8.7,61.9,81.9,28.8,33.1,1,26.9,Nafion 211,10,0.5M Na2CO3,1.43,1.9,11.14,67.3,36.3,0.003849,122.020475,0.0178,0.006,4,0.722,normal,0
MEA_0143,2024-02-05 12:00,853,143,Pt-Ru/g-C3N4,NiFeO2,18.1,1.9,45.2,24.4,98,55.7,18.7,33.7,53.8,24.8,7.94,27.3,AEM-Sustainion X37,5,0.5M H2SO4,2.43,1.5,45.11,42.3,57,-0.000216,121.836227,0.0146,0.049,4,0.979,normal,0
MEA_0144,2024-02-05 18:00,859,144,Carbon Paper,,6.6,56.2,55.1,20.1,6.8,84.5,2.6,82.8,53.3,98.8,8.53,93.9,Nafion 211,10,0.5M H2SO4,2.1,2.1,26.63,72.1,47.2,0.004778,125.940529,-0.0033,0.038,4,0.677,normal,0
MEA_0145,2024-02-06 0:00,865,145,Carbon Paper,IrO2,74.1,3.1,69.9,49.7,51.9,79.6,28.5,0.1,40.6,38.9,8.09,75.1,AEM-Sustainion X37,1,0.5M Na2CO3,1.99,1.9,6.61,42.7,36.3,0.002809,128.370314,0.0162,0.054,4,0.781,normal,0
MEA_0146,2024-02-06 6:00,871,146,Pt/Graphite,IrO2,57.4,32.5,50.9,44,17.9,17.5,44.3,30.8,16.9,73.3,5.33,30.2,Nafion 212,20,Buffer+1M KCl,2.23,1.1,20.64,73.2,75.8,0.004321,132.133905,-0.0021,0.049,4,0.698,normal,0
MEA_0147,2024-02-06 12:00,877,147,Pt-Ni/TiO2/CeO2,IrO2,84.2,42.5,60.9,31.2,97.1,67.3,61.7,24.1,97.7,68.5,2.71,48.5,PEM,5,0.5M Na2CO3,1.19,1.5,11.13,84,60.6,0.001557,133.499394,-0.0038,0.011,4,0.865,normal,0
MEA_0148,2024-02-06 18:00,883,148,Pt-Ni/TiO2/CeO2,NiFeO2,14,52.3,12.8,28.5,11.3,22.1,85,23.4,85.3,21.2,8.53,67.4,Nafion 212,20,0.5M H2SO4,2.29,1.6,10.78,72.2,63.4,0.000994,134.377096,-0.0021,0.04,4,0.91,normal,0
MEA_0149,2024-02-07 0:00,889,149,Pt/C,NiFeO2,79.5,42.8,36.9,31,40.4,21.8,19.6,6.8,49.8,23.9,7.41,86.8,Nafion 211,1,0.5M H2SO4,1.89,2.7,25.81,94.8,54.7,0.004404,138.292252,0.0173,0.076,4,0.694,normal,0
MEA_0150,2024-02-07 6:00,895,150,Carbon Paper,IrO2,20.2,48.1,0.7,10.1,73.8,87.4,12.6,18.7,60.3,28.1,9.82,23.5,Nafion 211,1,Buffer+1M KCl,1.5,2.9,33.92,65.1,57.6,-0.000407,137.927987,0.0175,0.055,4,0.961,warning,1
MEA_0151,2024-02-07 12:00,901,151,Pt-Ni/TiO2/CeO2,,16.4,20.4,19.7,19.8,70.5,25,96.3,55.6,22.7,41.1,1.98,38.9,AEM-Sustainion X37,10,0.5M Na2CO3,2.22,2.7,45.67,81.2,37,-0.000297,137.66039,-0.0001,0.01,4,0.971,warning,1
MEA_0152,2024-02-07 18:00,907,152,Pt-Ni/TiO2/CeO2,NiFeO2,16.4,48.9,58.1,2,42.3,26.3,10.8,29.1,54.4,23.4,2.64,91.2,Nafion 212,10,0.5M H2SO4,2.2,2.3,25.61,76.7,70.4,0.000796,138.382362,0.0112,0.022,4,0.926,normal,0
MEA_0153,2024-02-08 0:00,913,153,Pt/C,IrO2,81.5,4.8,79.3,23.8,34.7,0.1,47.8,41.7,69.5,2,2.51,20.7,AEM-Sustainion X37,10,0.5M H2SO4,2.27,2,48.33,94.5,55.9,0.004759,142.727329,0.0103,0.016,4,0.678,normal,0
MEA_0154,2024-02-08 6:00,919,154,Pt-Ni/TiO2/CeO2,IrO2,66.5,53.7,7.9,27.2,39.8,87.1,58.6,37.7,51.5,87.9,8.03,36.1,Nafion 212,20,0.5M Na2CO3,1.17,2.2,47.14,79.2,79,0.002798,145.298691,0.0142,0.034,4,0.781,normal,0
MEA_0155,2024-02-08 12:00,925,155,Pd-Ni/CeO2,,52.3,32.9,32.1,11.4,26.4,79.3,54.1,87.6,99,96.6,2.28,96.7,Nafion 211,1,0.5M Na2CO3,2.45,2.8,43.39,49,41.8,0.002325,147.449316,-0.0011,0.007,4,0.811,normal,0
MEA_0156,2024-02-08 18:00,931,156,Pt-Co/TiO2/g-C3N4,RuO2,35.9,49,64,48.2,20.5,62.7,8.6,90.5,61.1,34.2,1.13,69.1,AEM-Sustainion X37,5,1M KOH,2.44,1.1,25.5,92.6,42.3,0.003232,150.458308,0.0053,0.005,4,0.756,normal,0
MEA_0157,2024-02-09 0:00,937,157,Pt/Graphite,NiFeO2,87.7,27.1,16.3,45.5,48.3,75,5.7,49.3,37.1,33.9,9.99,40.9,AEM-Sustainion X37,10,Buffer+1M KCl,1.54,1.8,7.9,76.7,68.7,0.001505,151.868493,0.01,0.06,4,0.869,normal,0
MEA_0158,2024-02-09 6:00,943,158,Pt-Co/TiO2/g-C3N4,,39.2,38.6,44.4,36.1,26.9,15.2,10.5,33,77.2,0.7,0.74,25.4,Nafion 212,20,Buffer+1M KCl,1.1,2.2,11.68,43.3,80.8,0.003548,155.214257,-0.0092,0.005,4,0.738,normal,0
MEA_0159,2024-02-09 12:00,949,159,Pt/C,IrO2,81.7,31.6,58.6,26.7,28.7,45.8,58.6,10.7,17,68,8.43,22.3,PEM,10,0.5M Na2CO3,1.25,2.2,32.74,76.2,58.3,0.001359,156.503948,0.0013,0.064,4,0.88,normal,0
MEA_0160,2024-02-09 18:00,955,160,Pt-Ru/g-C3N4,IrO2,43.9,43.9,49.3,43.5,65.7,35.1,54.4,95.3,38.5,82.5,3.97,39.6,Nafion 212,1,Buffer+1M KCl,2.49,1.1,21.67,88.6,73.6,0.003958,160.283838,0.0109,0.018,4,0.716,critical,1
MEA_0161,2024-02-10 0:00,961,161,Pt/Graphite,,37.7,4.9,15,6.5,96.9,9.4,23.4,6,34.7,14.7,8.5,90.5,PEM,5,0.5M H2SO4,1.84,2,8.19,71.7,90,0.000604,160.864282,-0.0024,0.115,4,0.943,warning,1
MEA_0162,2024-02-10 6:00,967,162,Pt/C,NiFeO2,46.3,3.6,28.4,39.5,60.4,48.6,63.8,29.8,43.2,16,5.77,53.3,Nafion 212,1,0.5M Na2CO3,1.53,2.5,24.47,59.5,89.4,0.000665,161.507337,0.0187,0.031,4,0.938,normal,0
MEA_0163,2024-02-10 12:00,973,163,Carbon Paper,RuO2,30.1,14.8,62.7,6.2,7.7,92.1,82,29.8,78.2,79,9.07,77.6,Nafion 211,20,0.5M Na2CO3,1.43,1.7,1.85,85.2,74.7,0.002134,163.583719,-0.0091,0.032,4,0.824,normal,0
MEA_0164,2024-02-10 18:00,979,164,Pt-Ru/g-C3N4,RuO2,74.8,9.6,44.3,39.7,7.6,4,4.2,32,48.4,61.6,9.3,93.5,AEM-Sustainion X37,10,0.5M Na2CO3,1.39,2.5,36.96,83,74.4,0.001585,165.135434,0.0187,0.105,4,0.863,normal,0
MEA_0165,2024-02-11 0:00,985,165,Pt-Co/TiO2/g-C3N4,IrO2,50.3,52.3,0.4,13.8,95.1,29.1,49.8,16.4,79.4,4.5,0.59,52.6,Nafion 212,1,1M KOH,2,1.4,4.61,69.9,44.9,0.002889,167.981099,-0.0035,0.003,4,0.776,warning,1
MEA_0166,2024-02-11 6:00,991,166,Pt/C,NiFeO2,23.2,13.2,60.9,43.9,29.7,20.8,68.9,78.3,57.6,62.3,1.22,35.3,Nafion 211,20,Buffer+1M KCl,1.63,2.8,31.83,48.5,80,0.001186,169.156425,-0.0085,0.005,4,0.894,warning,1
MEA_0167,2024-02-11 12:00,997,167,Carbon Paper,RuO2,90,58.6,2.8,47.2,9.2,23.8,25.2,12.2,34.2,30.9,2.88,61.4,Nafion 212,10,1M KOH,2.45,1.8,39.86,53.8,54.3,0.000383,169.538276,-0.0012,0.03,4,0.963,critical,1
MEA_0168,2024-02-11 18:00,1003,168,Pt/Graphite,NiFeO2,38.4,20.2,59.7,7.4,59.9,90.8,30.8,63.5,81,36.9,6.86,92.6,AEM-Sustainion X37,5,0.5M H2SO4,2.03,2,7.5,80.6,87.7,0.001819,171.362733,0.0136,0.026,4,0.846,normal,0
MEA_0169,2024-02-12 0:00,1009,169,Pt/Graphite,NiFeO2,54.4,10.9,16.2,23.1,62.4,46.8,61.4,12.4,23.8,77,8.94,84.3,Nafion 212,1,Buffer+1M KCl,2.19,0.6,26.41,84.3,34.9,0.002366,173.750027,0.0126,0.062,4,0.809,warning,1
MEA_0170,2024-02-12 6:00,1015,170,40wt%_Pt/C,IrO2,90.6,47.4,76.6,49,64.9,46.6,89.8,7.1,22.4,81.1,4.87,25.3,PEM,10,1M KOH,1.44,0.9,39.17,55.4,56.2,-0.000144,173.603867,-0.0037,0.029,4,0.986,normal,0
MEA_0171,2024-02-12 12:00,1021,171,Carbon Paper,RuO2,62.4,39.5,29.4,24.2,26.7,76.1,81,90.9,50.5,40,6.27,75.4,AEM-Sustainion X37,10,0.5M Na2CO3,1.12,2.1,13.77,60.2,63.4,0.00234,175.993007,-0.0041,0.021,4,0.81,warning,1
MEA_0172,2024-02-12 18:00,1027,172,Pd-Ni/CeO2,,11.7,29.9,26.2,43.2,1.5,15.4,58.3,19,26.1,94.7,2.29,65.8,PEM,10,1M KOH,1.73,1.5,8.98,44.3,54.3,0.000916,176.933739,0.0093,0.019,4,0.916,warning,1
MEA_0173,2024-02-13 0:00,1033,173,Pt-Ni/TiO2/CeO2,IrO2,94,33.3,11.9,29.4,96.5,48.7,73,82.1,0.9,40.6,8.15,92.6,Nafion 211,10,0.5M Na2CO3,1.47,1.8,17.5,79.2,42.6,0.001355,178.333454,0.0037,0.04,4,0.881,normal,0
MEA_0174,2024-02-13 6:00,1039,174,Pt-Ru/g-C3N4,RuO2,62.8,43.2,24.4,18.8,25.1,43,36.5,54.5,64.8,77.2,9.69,29.8,Nafion 211,1,1M KOH,1.3,0.7,28.18,40.2,65.6,0.000676,179.035818,0.0138,0.049,4,0.937,normal,0
MEA_0175,2024-02-13 12:00,1045,175,Carbon Paper,RuO2,33.5,13.7,70.1,14.3,67.6,59.7,64.1,7.8,51.1,48.4,3.05,62.7,Nafion 212,10,1M KOH,2.43,2.6,29.19,42.6,75.4,0.004588,183.830278,-0.0093,0.017,4,0.685,warning,1
MEA_0176,2024-02-13 18:00,1051,176,40wt%_Pt/C,RuO2,13.9,59.8,79.7,10.2,70.7,100,46.6,95.5,44.6,89.8,5.2,90.4,PEM,20,1M KOH,1.67,2.5,7.41,40.2,68.7,0.0031,187.088378,0.0083,0.018,4,0.763,normal,0
